Date-ordinal,social,justice,rights,Date
735531,0,0,0,2014-10-25
735533,0,0,4,2014-10-27
735538,0,0,0,2014-11-01
735546,0,0,0,2014-11-09
735551,0,0,1,2014-11-14
735571,0,0,5,2014-12-04
735618,0,0,93,2015-01-20
735620,0,0,28,2015-01-22
735621,0,0,45,2015-01-23
735632,5,0,12,2015-02-03
735633,0,0,3,2015-02-04
735638,3,0,9,2015-02-09
735639,0,0,4,2015-02-10
735654,0,0,1,2015-02-25
735660,0,0,16,2015-03-03
735661,0,0,22,2015-03-04
735666,0,0,8,2015-03-09
735672,0,0,0,2015-03-15
735684,0,0,2,2015-03-27
735686,0,0,0,2015-03-29
735687,2,0,4,2015-03-30
735688,0,0,0,2015-03-31
735694,2,0,11,2015-04-06
735695,0,0,13,2015-04-07
735718,0,0,85,2015-04-30
735723,3,0,108,2015-05-05
735724,1,0,97,2015-05-06
735725,0,0,56,2015-05-07
735726,0,0,87,2015-05-08
735727,0,0,203,2015-05-09
735728,0,0,17,2015-05-10
735729,0,0,27,2015-05-11
735730,0,0,0,2015-05-12
735731,0,0,0,2015-05-13
735737,0,0,17,2015-05-19
735738,0,0,89,2015-05-20
735739,0,0,24,2015-05-21
735746,0,0,1,2015-05-28
735748,0,0,17,2015-05-30
735749,0,0,0,2015-05-31
735750,0,0,3,2015-06-01
735755,0,0,0,2015-06-06
735769,0,0,17,2015-06-20
735770,0,0,10,2015-06-21
735775,1,0,16,2015-06-26
735780,1,0,27,2015-07-01
735781,0,0,2,2015-07-02
735782,0,0,24,2015-07-03
735783,0,0,21,2015-07-04
735784,1,0,23,2015-07-05
735785,0,0,0,2015-07-06
735787,0,0,5,2015-07-08
735798,0,0,0,2015-07-19
735799,0,0,0,2015-07-20
735800,0,0,5,2015-07-21
735801,0,0,19,2015-07-22
735802,0,0,2,2015-07-23
735803,0,0,0,2015-07-24
735806,0,0,0,2015-07-27
735808,0,0,0,2015-07-29
735813,0,2,9,2015-08-03
735815,0,0,0,2015-08-05
735817,0,0,2,2015-08-07
735819,0,0,4,2015-08-09
735824,0,0,18,2015-08-14
735827,0,0,4,2015-08-17
735835,0,0,1,2015-08-25
735837,0,0,0,2015-08-27
735848,0,0,2,2015-09-07
